# x (AU), y (AU), v (AU), v_{x} (km s^{-1}), v_{y} (km s^{-1}), v_{z} (km s^{-1})
-1.027013845422266314e-01, 3.570736532519912243e-02, 2.406614234135414920e-01, -8.178367278417530972e-01, -7.114322812326615342e+00, -1.960902557631308829e+00
-1.927141253330749180e+02, -5.993105598495940001e+01, 1.862413752295319114e+01, -2.088140462812208276e-01, -1.474740184631783135e-01, 1.267464415826434765e-01
2.283514727090792729e+00, 1.727446626239633787e+01, -6.383831679748578125e+00, -6.325940117056010059e-02, -5.629493076365796322e-02, 2.912072313804138779e-01
3.295716456222776980e+00, -1.074896700070354649e+00, -4.571765423098477221e-01, -1.875438649953760528e+00, -1.208431427785560119e+00, -1.240453370372834430e+00
-7.818680970004014625e+02, 1.034008915065880956e+03, 1.902320816904900312e+03, 1.554630534872074032e-01, -1.267505061607201999e-01, 1.149753557156198841e-01
-6.263805426319560610e+00, -2.146528572008959301e+01, 1.566606969000443605e+01, 5.403793649098432433e-02, -3.011128636035489969e-01, -5.505334133286200471e-01
3.559040404730723139e+01, 3.294095617682925763e+02, -2.009631493138917335e+01, -2.398789606378606831e-01, 2.527316775593453288e-02, 5.978381087535623861e-02
-3.536501317350573825e-01, -3.684739460121614490e-02, -1.670963634015054877e+00, -4.958179097538966573e+00, 7.740682514281035376e-01, 2.243366193876559667e+00
5.246292479944406395e+00, 4.158460822807721335e+00, 2.141044742686919466e+00, 9.649723292324908774e-01, -3.895105651441986838e-01, 2.041261378059784803e+00
-6.481631239369783394e-03, 3.073295818836042567e-03, -5.526307270620578433e-05, 4.238892139092670597e+00, 9.081390114727573959e+00, 7.868953687411496034e+00
9.107077777513867822e-01, -2.518630788053345393e-01, -3.840900768999063186e-01, 1.424616688620230143e+01, 5.447103676503832759e+00, -8.362648115241670510e+00
2.360980574279309518e+00, 4.114192158520049158e-01, 1.655174251237756966e+00, -1.111522529653607316e+00, 3.414202459490725539e-01, -3.784798033946604745e-01
3.361588370308696890e-03, 2.973633756205120490e-03, 1.883570796111676575e-03, -4.440767068125198058e+00, 5.222012070733009104e+00, -3.187140290250873864e-01
-3.352068252340267840e-02, 4.723741360811397477e-02, 7.650864778803496578e-04, -1.873464811967276233e+01, -1.025757281079313543e+01, 6.132941066026828025e+01
-7.465678286688934850e-01, 1.699877791468738797e-01, -5.181356979028572257e-02, 5.520378240247088897e+00, -3.345804085285456697e+00, -2.617221259018528645e+00
2.407880458749110403e+03, -3.083308622778295558e+03, 1.816487763219943872e+03, 1.242482356867218984e-03, 1.656720124582667514e-02, -5.848376140802558597e-03
1.070153625038929805e-03, -4.799547572408508975e-03, 7.536078030407167110e-03, -8.998523329931713022e+01, 2.705441431684746689e+01, 3.000857624617491126e+01
-2.440846699227780192e+01, -1.641774737857941346e+01, 2.441975523824785554e+01, -2.492773816694825867e-02, 1.021429174303025017e-01, -8.003558184069813064e-02
-1.730754421079811891e+03, -4.158465190780864162e+01, -1.890881132231532149e+02, 3.924248379153578298e-02, 1.028568031274699757e-01, -1.051196279427960879e-02
-7.501541523468122606e-03, -3.357100038854099466e-02, -3.471431732265384956e-02, 9.134138271999337963e-03, 9.535463168529602351e-02, 5.729796157098884096e-02
-2.950320788762397797e+02, -3.874191158015976839e+02, -4.994155728337563573e+02, -8.070922222091092557e-02, 1.771864151328818027e-01, -5.198633269299252069e-02
6.869509063991108277e-02, 1.837154475240904833e-02, 3.117047415338076652e-02, 6.128036754951896370e+00, 4.493772171461609233e+00, -5.285468305375291997e+00
3.826541324346092177e-01, -9.782613728629612204e-01, -4.316090052796849735e-02, -1.376434029525008151e+00, 5.324467291421661752e-01, 2.180789446795468489e+00
2.795278783618400809e+01, 2.222580255902641966e+02, 6.753863619367581350e+01, -8.383578792822007908e-02, 1.050244887062180332e+00, 3.822274303913644755e-02
1.632143386981506697e-02, 5.545422292063298397e-03, 6.098539823033383676e-03, -3.021580819294599873e+00, 3.828834867927565444e+00, 3.237124764414824885e+00
1.141352157651826099e-01, 1.200031693953141632e-01, -1.811763818617814215e-01, -1.870917857948447249e+01, 3.857928381724505584e+00, -1.650106511544787047e+00
1.341091382397068621e+01, -8.286179069670015451e+01, -7.112323986821493804e+01, 6.397516704986576375e-02, -1.091431621039659107e-02, -2.725396928039164682e-02
1.810684047306335698e+00, -4.251122254275547796e+00, -7.411184253287741441e-01, -1.621111566919558877e-01, 2.400594935508577332e-01, -4.646016862378877232e-01
