# x (AU), y (AU), v (AU), v_{x} (km s^{-1}), v_{y} (km s^{-1}), v_{z} (km s^{-1})
-1.988358774722468691e+00, 1.081782176850330179e+00, 8.212543140441415090e-01, 1.275227997630743459e+01, 1.839998312113896528e+00, -2.369268375539030025e+00
2.621487772420926454e+00, 2.067274151284847594e+00, 1.502915697079363078e+01, -3.200949024323287873e+00, 2.992034452307817727e+00, -2.889122481497770067e-01
-1.907007452439731878e+02, 8.682414792422805760e+01, -9.438031982118195629e+01, 1.695065299445128737e-01, 9.657860645258525834e-02, -5.828688366365402107e-01
3.723233506461220976e-02, 3.243712519647915515e-01, 9.308905300219562362e-02, -2.558305346217964882e+01, 3.554799596998893474e+00, 4.194077091243921807e+00
2.608081063761526863e+01, -1.624637252439683834e+02, -5.005563209133996594e+01, 5.451064202233015799e-01, -1.404762997789592849e-01, 4.502305262872751679e-01
2.500092422676961590e+01, -7.191030168203565154e+01, 1.260396439897842384e+02, 5.163826604456472902e-01, 1.508263680129945106e-01, 2.528018717853941499e-01
4.474921194688246118e+01, -1.197077993594283685e+00, 4.392937835626057108e+00, -1.459771366869724973e+00, 2.049514667967874182e+00, 6.274346774349899292e-01
-8.548619059587221273e+03, -3.715534390025108587e+04, -1.666335459772965623e+04, -7.209451477276038536e-03, -4.366336786772751638e-02, -3.215836933234051537e-02
-6.324108658452427534e+01, -3.258929680196416001e+01, 4.465883812220893923e+00, -1.399510467291951832e+00, -1.271893646723076587e+00, -7.900768448688656465e-01
2.487925703487923329e+03, -5.277599431014572247e+02, 9.951549965554538630e+02, 1.275526757934280497e-01, -1.417851557932885420e-01, 1.037672683994425443e-01
1.471171836420295875e+01, -6.285945265924365977e+00, -2.417273054362738804e+01, 1.756613701867614674e+00, 8.724383484122828492e-01, -1.470800125738900010e-01
3.805957851754526928e+03, -1.796557713034836706e+04, 9.126510319000477466e+03, 1.207905088165009133e-01, 1.268408442138969916e-01, 1.119499755188806678e-01
-1.105312565529480793e+02, 2.391737255499762238e+00, -1.648451472153310959e+01, -9.738541581952192550e-02, -8.840048067820832634e-01, 1.192652570856046923e+00
-1.641925837999553437e+02, 1.955997701687591075e+02, 1.921888461973877611e+02, 5.294713288258502404e-01, 6.566076538761663750e-01, 2.888327114439816490e-01
-3.337316464410974248e+01, 3.469434280555764083e+00, -8.382888083302196947e+01, 9.904604630315343439e-01, 3.764237937696159886e-01, 5.650537412248708424e-01
-6.175616384819948568e-01, -1.892796668897091528e-01, -7.831953716103084995e-01, 4.541992766091204281e+00, 2.746264293046682425e+01, 1.454409216578865660e+01
1.353219865761039955e+02, 2.762301359855326268e+02, 3.132145233018915746e+02, -2.297249539481406866e-01, 4.838138083564298420e-01, 2.710342609157583293e-01
1.098849056204308994e+01, 8.015496912128059037e+00, -9.179757201870057060e+00, 6.068482971260938941e-01, -1.740812429519993598e+00, 9.846111465812543706e-01
4.326464064361643835e+01, 2.379014783148020840e+00, 1.387252952212538482e+01, 2.061362361180105462e-01, -7.395237194295535277e-01, -8.493781406515499288e-01
-1.072768000714359980e-03, 9.849609738530797499e-05, -1.054848978646627002e-03, -5.363904980581757798e+01, 3.990758988379752736e+02, 9.181378261439644461e+01
9.270540397302178803e+01, 7.360469501836232098e+01, -1.094594192295867963e+01, 2.296620758301675558e+00, -2.019271925906614418e-01, 4.097512824128320408e-01
2.538189802003300954e+01, -1.599607299417375472e+01, 1.361113223403437722e+01, -7.845510657141377409e-02, -8.017707826483236877e-01, -3.881165824027064559e+00
1.389823965455203449e+02, -3.222938645570244631e+01, -3.595822596741160737e+01, -4.049230538334081531e-01, -7.604529946915835614e-01, -5.920153783603111508e-01
1.644817812053417356e+03, -1.187863822439529940e+03, -3.605814759541542713e+01, -2.630037945248950293e-01, -6.448995158362846869e-02, -1.772843547396730501e-01
2.562661580188675403e-01, 2.343154144322292520e-01, -3.023359460949107125e-01, -1.635621080275463513e+01, 1.978405125588185953e+01, 2.830932455706994144e+00
-1.299443838035443943e-02, 2.491355210774305953e-02, -1.261732765603618654e-02, -1.172049787120818678e+02, -4.070914575520804135e+01, 4.032576973360955463e+01
