# x (AU), y (AU), v (AU), v_{x} (km s^{-1}), v_{y} (km s^{-1}), v_{z} (km s^{-1})
2.539914809429023590e-01, 2.034567198914477848e-01, 3.123066514537670701e-01, 5.410625423474028750e+00, 3.632700281324036773e+00, 4.454943630305606139e-01
2.835546214383636610e+01, 2.721645097664649171e+01, -1.001871110888641248e+01, -1.339472191881212193e-01, -2.490268397301428904e-01, -6.240402551036668480e-03
4.158058633875389744e-03, 2.316426444485733427e+00, -1.573469241682781572e+00, 1.372007849395753043e+00, -1.360023372083396520e+00, -4.923005072661490455e-01
-3.154271378793584972e+02, 1.175090285676792661e+02, -3.377413738789983313e+02, -7.022815719807395940e-02, 1.852196659420146940e-01, 8.864472966926482955e-02
3.493005551303088208e+00, -2.128011233868517760e+00, 1.262910083860616650e+00, 3.493816196374063265e-01, -7.619451851450009805e-01, -1.032952567163034852e+00
-7.177246195398555351e+00, 2.650770385684845820e+01, -1.468653809665552323e+01, -5.949464869176265269e-01, 1.748289132273356694e+00, 1.857987484535590150e+00
1.054638006532206740e+00, 9.062691266218169117e-01, 8.441508404284395750e-01, 3.232231290885924757e+00, -6.073838623891493427e+00, 3.131833919231866048e+00
-7.711284632826914676e-02, -6.136567223746969280e-02, 2.635636934476672244e-01, 2.733934965044373389e-01, -1.653793205511691955e+00, 2.247903145069268804e-01
-9.188425648906870080e+00, -6.882534336728956248e+01, -1.049699854418108345e+02, -5.530043886203456216e-01, 5.040187058837892753e-01, 3.380292646639477261e-01
-9.207965210428183056e+00, -3.121466926151783117e+00, 5.321479148947931392e+00, -1.534064083625820071e-02, -6.160460693756053541e-01, 4.038090865303143318e-01
5.789900772809111196e-01, 5.021307351315227319e-01, -1.650977610218532732e+00, 2.948630142896470296e+00, 6.725590886898898724e+00, -4.047412302787860017e-01
3.577731385577674894e-01, 2.264343959843364562e-01, 3.871976209063187069e-01, 1.066279536422484142e+01, 1.189221379638739917e-02, -1.832191286620603421e+01
2.083120103549018864e+01, 1.145796999589471810e+01, -3.766519002787968873e+01, -2.477181441696449660e-01, 1.576463389231357037e-01, 3.591406020562517010e-01
1.133565049059913235e+03, -8.490382636655579063e+02, -7.131628974034228463e+01, 4.690006153804800876e-02, 6.244000809615515152e-02, -2.570339055313178300e-02
9.843169152188402382e-02, -9.653995857690716997e-02, -8.570427001599659200e-02, 1.802947541625959715e+00, -4.810098688727921790e+00, 6.874053507145229780e+00
-4.734745093197124532e+01, -2.326846995140558860e+01, 6.118076134869011895e+01, -3.751003933951010394e-01, 1.825700363107926605e-01, 2.097122505241346135e-01
-9.098698464709533695e+00, 3.073587185639205632e+00, -6.510414541836665236e+00, 5.250762347707117472e-01, 4.857048019848248521e-01, -5.385420279490515938e-02
-3.076118603091663406e+00, 1.539862169654439228e+00, -3.959610330672806544e+00, 1.839988381909252180e+00, -2.775581173709172345e-01, 2.544570331856414569e+00
6.719733023449057541e+00, 1.729499819517256398e+01, 2.891396504190001693e+01, 2.482036136904420542e-01, -8.445725206712030586e-02, 8.502905338017843762e-02
1.339502145196912686e+01, 1.904047384165730961e+01, 1.576273534346692351e+01, -5.367516956074799284e-01, 1.314974762518144935e+00, -8.898832597542109812e-02
-4.252576091186583085e+02, 1.355211986969825375e+02, -2.518733609863267020e+02, -1.555477451373285525e-02, 1.735634079575031768e-02, -5.145193479257260949e-02
-4.829446202430970891e-01, 3.106233203513866781e-01, -8.497490409704404613e-01, -4.373448400267018421e+00, 6.640280344837661275e+00, 1.508306812056060764e+00
-8.578537950149919311e+01, 1.204318975691966287e+01, -1.079471940540403523e+02, 1.971171597154685318e-01, -6.408510314963404564e-02, -1.698684631358170910e-02
-2.789863627709882749e-02, -1.317080703953889438e-02, -2.828901794936064529e-02, -5.009358331917278662e+01, 2.679259734861012703e+02, -7.533872828823594148e+01
9.351765204862231076e-03, 1.125126226613745554e-02, 7.861424652816667580e-03, 4.637526386835935455e+01, -5.753676472215838800e+01, 2.717963476849792315e+01
4.333713865039580219e-03, -6.867174124708645515e-03, 6.932117523865985106e-03, 5.613330396645869058e+01, 2.078469113685018144e+01, -1.450257936031328754e+01
-3.632782092256463358e+01, -3.779580421338449270e+01, 7.920201647170426185e+00, -2.507461773229600552e-02, -1.788351794269258666e-01, 1.706935962776908733e-01
3.502514056842295775e-02, -3.972378940799733971e-02, 8.088232822735370864e-02, -5.922455823192581015e+00, 1.651355128456674848e+01, -4.336308122723602665e+00
-4.355201489438144336e+01, 3.882236363909625254e+01, -7.364843103458410667e+01, -6.075621474035247660e-01, 3.556156867438201585e-01, 5.085556328509027724e-01
6.876475738801041793e+00, -2.197133453990490537e+00, -1.016302929741516792e+01, 3.345718323075163037e-01, 2.907221450179114375e-01, 2.546966601811384567e-01
1.988878188056271146e-01, -8.499957171501555386e-01, -1.001063922012351615e+00, 2.985850748270530985e+00, -7.228158327324434751e+00, 4.196602870141534325e+00
1.282607256057253009e+00, -3.968858297702558957e+01, 7.898486899626888658e+01, -7.084095083047894370e-01, -4.958333536826203258e-01, 3.812349533085602760e-01
-3.514951260799824978e-02, 2.766680795408794219e-02, -7.785481861152658209e-03, -3.503762080246746180e+00, -8.380860721754213039e-01, 1.333051489889008323e+01
-1.998684116315696313e+00, -5.593618288354152668e+01, -4.555280422454317524e+00, -1.170906181979413790e-01, 7.917458605185163922e-02, -1.548726764248598009e-01
2.840332971074022907e+02, 1.162504374181615958e+03, 3.086710290601003237e+01, 7.959932990930124186e-02, -1.482852773740296441e-02, 1.151855700571391694e-01
1.164396995528207857e+00, 6.783436435927515662e-01, -2.953338614849627120e-01, -2.959583429546924993e+00, 4.641991210174372995e+00, -1.158002241043575431e+01
-1.833968247097532422e-02, -3.304250437445470368e-02, 5.532776336876032985e-02, -1.869856860543132271e+00, -1.094619234518774320e+01, 5.166465302783207481e-01
8.739355666707420145e-01, -2.563459746646894466e+00, -7.367394120420053261e-01, 1.360268578790165961e+01, 7.912619615815963403e-01, -3.985978481558160258e+00
7.501397289660878869e+02, 9.854671424361334857e+02, -1.689126046592718694e+03, -1.075995348861714523e-01, 1.617722718323979375e-02, -5.806496097851587129e-02
4.808112035269196554e+02, 1.473584331706668991e+02, 7.153208044734063265e+01, -2.839651683162291440e-01, -1.020241328617395443e-01, -2.697863293492859527e-02
-6.149575339967069567e+02, -4.409523921371082906e+02, -5.401015035386936916e+02, -1.838542223133431408e-01, 2.275020888671502872e-01, 1.267046944584637735e-02
-6.518486667200111384e+00, 1.363957670138995582e+01, -6.530531347982652335e+01, 9.550639837725953540e-02, 5.545631497376377755e-02, -3.571947945778767286e-01
1.756803313693809099e-01, 7.833536064871723381e-01, 1.049706192590944775e+00, 2.211902379918781136e+00, -9.489256600993021262e-01, -3.586068789790436195e+00
1.771411844696449300e+00, 1.639898236409824683e+00, -2.981891890464993256e-01, 1.337520684994350439e+01, -1.115515129529054938e+01, -9.019314242647389790e+00
