# x (AU), y (AU), v (AU), v_{x} (km s^{-1}), v_{y} (km s^{-1}), v_{z} (km s^{-1})
-5.922660546495833245e+01, -1.781648861306809124e+02, 3.594279755199411284e+02, 3.627582068010487548e-01, -7.120357746787416842e-01, 6.153824198126576217e-01
3.589318124734246218e-02, 1.565986784635325577e-02, 2.343839193330600566e-03, 1.224205473072286132e+01, -1.193800857390604087e+01, -1.077115927543533331e+02
3.992655941904920525e+01, -5.270101808172662317e+01, 4.573527165407499240e+01, 1.207999920204483324e+00, -8.021817518641776168e-01, -1.042911742348471726e+00
4.109278769747595561e+01, -3.772110730509972143e+01, 5.966847227272040044e+01, 1.147036120884911137e+00, -1.109231841389186179e+00, -8.489510534678634812e-01
-7.808052701568597431e-01, -4.587995595966947171e+00, -7.343117528735075616e+00, 1.651679279363605479e+00, 3.176971511698011952e+00, 8.206221578977161979e-01
1.662625520711794991e+01, -1.010680376655428603e+01, 4.625977013143431016e+00, 3.955053288487534680e+00, -6.775299384641964906e+00, -2.948320561545689777e+00
-7.441022640173529379e-02, 1.361549047644174282e+00, 6.106401340019527169e-01, 5.696117021037263584e+01, -3.088893566800175350e+00, 1.740906415295832588e+01
-3.153983917772646972e-01, 2.272093296871549040e+00, 8.887673833146888525e-01, -4.995570321567818078e-02, 3.347312110467693724e+00, -1.084209643588535066e+01
-2.883241710290290083e+00, 1.732287079912145034e+00, -2.058799671989337998e+00, 4.980081602970827248e+00, 6.331345252055798234e+00, -1.604520030548359566e+00
1.297685019651948976e-02, 6.496313526985202525e-04, 2.260105957931764567e-02, -6.871101314075954747e+01, -5.079155360046809164e+01, 4.091172393067800073e+01
5.233735470735790329e+01, 1.423102750000446974e+02, 4.832148380552932849e+02, -4.178531618502305256e-01, -5.218539305682239338e-01, -6.205097939000559643e-02
-3.619606357626289128e+00, 1.603895960294169143e+00, 3.223732541284077602e+00, 7.460593962784804134e+00, -5.632216381915806203e+00, 4.903231903572256023e+00
-8.477408944938334798e+02, -1.659031982472384357e+02, 1.245754975950769676e+03, 2.948891113200279371e-03, 3.123081332236893326e-01, -1.996095240473674814e-01
2.393604555627076858e-01, 7.919503660812976520e-01, -4.218996171181145227e-01, 6.239946712411686969e-01, -2.522158472701885867e-01, -7.179617793990434649e+00
2.373761599054396709e-01, -6.439126937278605300e-01, -3.283961893575563784e-01, -1.032862771897919885e+01, -4.106051699299569258e+00, -3.476148901444476991e+01
1.858063506167343633e+02, -1.569990811693130297e+02, 3.152746116793678652e+02, -4.200421525517368804e-01, -1.080368719891451057e-01, -4.572741620532874141e-01
1.232493609931757161e+00, 5.480766241455398147e-01, -1.289135724455815790e+01, 4.372381391746690271e-01, -2.312006760026396712e+00, 2.469763139326270007e+00
