# x (AU), y (AU), v (AU), v_{x} (km s^{-1}), v_{y} (km s^{-1}), v_{z} (km s^{-1})
8.593517713629865966e+02, 3.884702662433418936e+03, -1.523790785681924035e+03, -3.892810487570782380e-02, 4.861925391662942630e-02, 2.930055053085511840e-02
-9.377673238694375968e+00, 1.034658660563471777e+01, -9.689238132102203638e-01, -3.482060507044304476e-01, 1.263293322837268917e+00, 3.163851767815191729e-01
2.430093702710039161e-01, 1.811669323599564285e-01, -9.258454723137570230e-01, -2.088990021028832356e+00, -4.805898104991852549e+00, 1.155359975778669224e+00
1.722746061570388676e+01, -7.298237267452766242e-01, -4.758401870324829197e+00, 7.409052961135110804e-01, -1.200087265241212980e-01, -5.345657179786833524e-01
1.361024632215620256e-01, 8.322782491767328761e-01, 9.608386767210135015e-02, -5.527905163849374581e+00, 4.858337016549476584e-01, 2.570965331872208992e+00
-1.177762552327026015e+03, 7.213559062828760489e+02, -1.679066356337185653e+03, -7.961103691908159863e-02, 6.952818383626933885e-02, 1.682903469514208938e-02
-3.576893902356587773e+00, -1.446878559367336781e+00, 9.097763331843824464e-01, 1.999662472965213933e+00, -9.818626485424786221e-01, -1.692294057269306373e+00
-2.582706967722837033e-01, -2.256065957134434363e-02, -9.965207315971758018e-02, 2.848059937571702616e+00, 5.716307491984200517e+00, -6.750551962789351990e+00
-1.496116494437229813e-02, -1.532789733177020386e+00, -3.501354022961786217e-01, 7.218179260437331823e-01, -7.207680799027488261e-01, -1.961803764247944892e+00
-9.084085710371026315e-03, 3.055419613896614983e-02, -1.176583323195322904e-02, 3.777838861368405787e+01, 2.461729089278576588e+00, -2.277492477148674865e+01
6.189069892085483637e+00, -1.115852342427510564e+02, 6.176598370654434689e+01, -6.467596609061591062e-01, -3.574904001911185514e-01, -8.638397170202248565e-02
6.443969116957792842e+00, -1.160782621973410977e+00, -3.879579819619490832e-01, 1.128113487643698010e+00, 2.247604662563029154e-01, -1.089595568494805988e+00
2.179203229797423536e+00, 2.277043700724452169e+00, -2.226152812506313250e+00, 1.367854753898682107e-01, 1.434991074273107847e-01, 1.670022931172050196e-01
5.885897429238892142e-01, 3.942295055363298495e-01, -1.298744132757309711e+00, -1.607087270269670354e+00, 1.614991732102291300e+00, -1.829630147625842307e+00
-7.415014689539840310e-03, 6.966522961606191541e-03, 8.088028413956125165e-03, -7.189283434035276343e+01, -2.989310042282310675e+01, -4.016250136518575431e+01
-2.657948269342426102e+03, -1.486945342004044278e+03, 4.464773672810490552e+02, -1.933216876200378326e-02, -1.258824144309277603e-02, 4.894373866268166701e-02
9.967387278557204411e+00, 3.633219444729104453e+01, -2.236151358493708230e+01, -7.651677326380150468e-02, 2.779707881293668609e-02, 1.543305730507926188e-01
