# x (AU), y (AU), v (AU), v_{x} (km s^{-1}), v_{y} (km s^{-1}), v_{z} (km s^{-1})
-1.362797999182857893e+03, -6.160533081101186326e+03, 2.416494738361859618e+03, 6.173390828351069809e-02, -7.710256051983944980e-02, -4.646610732537724553e-02
2.354694222411790605e+01, -2.597984284784407905e+01, 2.432926853869521011e+00, 8.743307160878444062e-01, -3.172076284575746641e+00, -7.944298429488666491e-01
-6.635786947134858504e-01, -4.947073290490761610e-01, 2.528179589697331142e+00, 5.704344938954043265e+00, 1.312332766378529314e+01, -3.154908239943263304e+00
-2.218829950158024644e+01, 9.399845858664864773e-01, 6.128636611213806873e+00, -9.542572163820701725e-01, 1.545665740482448924e-01, 6.884998618412799809e-01
-2.649458810641879825e-01, -1.620166812555936753e+00, -1.870430877874574849e-01, 1.076097867303933953e+01, -9.457553896442215668e-01, -5.004807840468626701e+00
1.213134892852950088e+03, -7.430207543517924478e+02, 1.729494608453568617e+03, 8.200203559870478109e-02, -7.161635907154602354e-02, -1.733446963598224075e-02
8.595596725614129241e+00, 3.476978894751494131e+00, -2.186274092560800852e+00, -4.805368197706110678e+00, 2.359503971100226583e+00, 4.066734338375731284e+00
5.539176635278929561e-01, 4.838623968411570608e-02, 2.137255376633383497e-01, -6.108283773277102036e+00, -1.225986428014575935e+01, 1.447802641756448061e+01
3.453409198450707596e-02, 3.538060160105006791e+00, 8.081996445388385242e-01, -1.666135407686746950e+00, 1.663712101524611686e+00, 4.528331309894080725e+00
1.446472916904842712e-02, -4.865191569290908818e-02, 1.873491692775348938e-02, -6.015510830287890087e+01, -3.919849030412617452e+00, 3.626486243837447887e+01
-6.541008054236917779e+00, 1.179304691402978165e+02, -6.527827346383843121e+01, 6.835373044587049751e-01, 3.778189013429450460e-01, 9.129615023130682738e-02
-2.152050425285990087e+01, 3.876590172830940428e+00, 1.295638022033954950e+00, -3.767487191187269158e+00, -7.506179005753947919e-01, 3.638851403552336272e+00
-2.485644650203906636e+01, -2.597243531762010704e+01, 2.539196323353960594e+01, -1.560203658288582984e+00, -1.636780745405225890e+00, -1.904862982867153720e+00
-1.719378844490557112e+00, -1.151616860202045567e+00, 3.793870370856782692e+00, 4.694597360846396228e+00, -4.717687747003277643e+00, 5.344686017535303257e+00
9.793952018450026095e-03, -9.201572010052973954e-03, -1.068288675434338197e-02, 9.495800068920526371e+01, 3.948361580953340422e+01, 5.304771841739578520e+01
4.123657553379582168e+03, 2.306912238188341234e+03, -6.926845752558655249e+02, 2.999277474966397655e-02, 1.952995004053193623e-02, -7.593346339917120269e-02
-5.206944020240581494e+01, -1.897986877930602532e+02, 1.168161185982038432e+02, 3.997221577325198449e-01, -1.452114072225831054e-01, -8.062199571756260008e-01
8.489943341779772368e+01, -2.417173948926058191e+00, 3.794149963243476975e+01, 1.403879768665369010e+00, 1.325553940100815224e-02, -6.417644108824576143e-01
5.453157292816771218e+01, -1.398926486984611586e+02, -1.360224455613563634e+02, 6.931955510059466252e-02, 9.085958667880862649e-02, 1.865282030156674431e-01
9.339044322417348098e+01, -4.853449030629002436e+01, -1.449382686032626566e+02, 1.086235714066990488e+00, 2.589358489065665681e-01, 6.715587914673200043e-01
-1.438590089556316620e+01, 2.258219914717572152e+01, -3.890382637773537766e+00, 3.934511730213310798e+00, 1.837643913799938744e+00, 2.050747448440078724e+00
5.495851406303336626e-04, 1.933053091229683038e-02, 3.818497906286364763e-04, -8.802136136057775673e+01, 4.516502691459341357e+00, -1.019541285247423588e+02
-1.777758788286631475e+00, 2.008701391702055616e+01, -1.587597997686290974e+01, -1.837818663707741773e-01, -9.061039231416457840e-01, 1.206114739000238245e+00
4.968599963440575493e+02, -1.952504498911471273e+02, 2.854026064938177001e+02, 3.504250189821527250e-01, -1.109710211974250654e-01, -2.199507468408407052e-01
2.059564763543471599e+01, 1.130896150737175958e+02, 2.739637909029987028e+01, -7.090659005452217833e-01, -2.067443475176522841e-02, -2.923255288632311544e-01
-2.827040049511912301e+01, -1.164406123460856612e+01, 1.117445573822963212e+02, -1.705772842038434822e+00, 4.170589628317298847e-01, 1.744152238746535591e-02
5.377336572332421794e-01, -5.042869596168596535e-01, 6.220974413713143969e-01, -1.453983857047857597e+01, -5.151504597880988356e+00, 8.207729539332419000e-01
-3.536844517432185239e+04, 7.623009478342808143e+04, 1.578449679904023069e+05, 2.190453036687712955e-04, -9.307428086212857351e-04, 2.598886986722125786e-02
-3.194008327119048118e+01, -7.391727425103397309e+00, -1.081821545495106029e+01, 5.805312886280196150e-01, -4.148138665273308212e-01, -1.962058757801198317e+00
6.767764487819033503e-02, 5.733865886537060225e-03, -9.943178377402661638e-03, 5.016949539582116202e+00, -5.260521965745738271e+00, 7.333552839952137958e+01
6.024714799070536486e+01, 3.960300816257791325e+02, -1.472490453038332987e+02, -3.826453457569058414e-01, 3.882213919063066676e-01, 1.375060936141687118e-01
7.943400358104467374e-02, 9.754808590332435247e-02, -1.733426150820149836e-01, -4.152820507909005698e+01, 8.271770886816101509e+00, -3.396582976791559183e+00
9.600004778670394590e-01, -4.684411234352636733e-01, -6.039759258461415703e-01, -1.361892044416329162e+00, -1.621278165421130169e+01, 3.117790530589543696e+00
-4.679514927053768925e-01, -1.639850612289510323e+01, -1.175447462423920086e+01, 2.389007318506037425e+00, 2.593791206644171510e+00, 1.604382530022592235e+00
5.712543030910403274e+01, 6.283181652527198224e+01, -1.266436546222110593e+01, 8.116469845445788422e-01, 1.163318346483589449e+00, 1.352398190972817993e+00
2.831080149724433426e+01, 2.070966772089171215e+01, -9.790968422947090133e+00, -7.216450263621938532e-01, -9.379838238040204557e-01, -6.472912327237576591e-01
1.388915740060072721e+03, -1.113107461983519443e+03, -1.328768262909152099e+03, 4.082893181963094531e-02, 3.087835608455729020e-01, -2.868561805224363881e-01
1.473017907959421668e+00, 1.089400370347126223e+00, -8.410288003616915864e-01, -4.010545987496589859e+00, -1.308151129970546656e+01, -1.657464227148989222e+00
-4.304720033124848078e-03, 1.694824843269574291e-02, -1.780360722178610799e-01, 7.767585876181500204e+00, -4.222355708266749019e+01, -2.088613919789185758e+01
2.475606789575105979e-02, 8.318266525017681268e-01, 2.256281750848014855e+00, 6.787809690659016404e+00, -2.823498783530673517e-01, -1.054309963502964287e+01
2.415970589080703235e+02, 1.815961555231072850e+02, -1.333251915881091350e+02, 8.435455644946264764e-01, 4.987871146159976177e-01, -5.635705079257234962e-01
1.364765501968000549e+01, -1.855316411951994837e+01, 5.009923327572097129e+00, -3.320104016003512459e+00, -1.017475096782560318e+00, 1.545206705366523270e+00
1.320654925339732166e+00, 4.770625584742854142e-01, 7.382419287413665154e-01, -1.028697491470567371e+01, 6.932048666729294650e-01, 5.687214420917648283e+00
-2.292520894042328337e+02, 8.617442772092192627e+01, -1.546417342807594650e+02, 2.762625866786685980e-01, -5.233762305622799982e-01, 1.505574282815459186e-01
3.979714330895735915e-04, 2.130764816682208240e-03, 2.180964987713111466e-03, -1.814462218157334803e+02, -1.767774057127592471e+02, 2.058178338169850008e+02
-1.670244303828261057e+00, 5.288044411598116668e+00, 1.003597251272081259e+01, -1.738938560830552760e+00, 3.335988706944661430e+00, -7.983346650674573164e-01
7.400981548814253297e-02, 2.835789780575084795e-01, 3.818431953746481006e-02, 1.825001560683580237e+01, -6.762639993456549981e+00, -3.715646800324121557e+01
-4.168329958703559441e+02, -2.183285356348438597e+02, 1.893837562368020428e+02, 1.507867337496841820e-01, 2.456297890225784541e-01, -5.832849268519294528e-01
1.966052105247891859e+02, 1.311662798193524395e+02, 6.782250824531762134e+01, -4.720019017924731441e-01, 1.870423909919990690e-01, -8.298105661807448907e-01
2.394787858120085389e+01, -1.108594767206393961e+01, -1.940949261966574246e+00, 2.930512053570019315e+00, 1.719394566574194316e+00, 5.878145589055591147e-01
-8.699630246831844715e+01, -9.945329226949458246e+01, 5.268553699010658065e+00, 9.453334316716326402e-01, 7.656779577740885356e-02, 1.751249747852343386e-01
1.975763244342865654e+00, -1.729197247960979622e+00, 6.634415619903774042e-01, 3.904808150689824231e+00, 6.935797083178232292e+00, 9.067843280033721642e-01
-1.390000219416790639e+00, -4.221177387362063271e+00, -1.157321985273321863e-01, -8.064027991927282812e+00, -3.104862465550628947e+00, 6.472381599902449878e+00
3.927849864590628215e+01, 5.284322631785332902e+01, 1.437640685594288570e+01, 1.793778079557048599e+00, -5.836658866364420328e-01, -1.691544916623089811e+00
-1.047829582551410121e+00, -3.187604957310213316e-01, 4.421201307458346719e-01, 1.346191273010186151e+01, 8.802248619930249873e+00, 8.860667530956911619e+00
-2.972415463344182172e+03, 3.313590208854323009e+02, -2.077039463444332341e+03, -2.501340376276101618e-01, -1.273537029253715702e-01, 6.451183589621661829e-02
1.521614890032855874e+04, -5.972491251347479192e+03, 3.229341700958619299e+01, 9.994914267129072216e-02, 1.429927377405545465e-02, -8.900920499858952506e-02
5.799860925862587550e-03, -2.760112532819991148e-03, -1.358013332807915486e-03, 1.137559722643712519e+02, 1.997527224808282256e+02, 7.984371229345103416e+01
2.249726999599618793e+01, -5.487869598012366623e+00, 9.927291337559788431e+00, -2.348734053710537673e+00, 2.534327837002065653e+00, -1.329478376538091533e+00
5.279050942762211207e+00, -6.964840987064709665e+00, 1.459453161009902356e-01, 1.975729333211426519e+00, -1.954811391816708266e+00, 3.804894430226644975e+00
-1.090178120764519892e-01, 1.162519476263578627e-01, -5.588071393267487336e-02, -4.539100052321778378e+01, -2.251778346324601188e+01, 2.047784583896034150e+01
1.866044426165711627e+02, 3.946632273222977005e+01, -4.979867667165360245e+01, 6.110680608173648665e-01, -5.714480813098391510e-01, 6.895470176346921720e-01
-3.373151481486593184e+01, 1.643360032003428569e+04, -2.916580297987778977e+03, -7.884410844859822409e-02, 3.845315568560095376e-02, -4.585585912016232335e-02
9.275391612643245409e+00, -4.749349828559891407e+00, -3.078456113499458802e+00, -1.677987262306590566e+00, -6.002932192862628469e+00, -1.004561850903846976e+00
9.841905596095705278e+02, -6.046436771634913612e+02, -1.576585217844462250e+03, -9.111007372829051099e-02, 1.531103892848964532e-01, 1.364149025191444542e-01
-2.929153142929492404e+01, -6.705528540614746191e+01, 6.065626625758872592e+01, 9.938912218965299805e-02, 4.214338893046790102e-02, 1.340553238160155036e+00
-2.712795792263748353e+02, -3.007398167033326786e+02, -1.862846891812109007e+01, -1.757047052469653536e-01, 3.897776412843232952e-01, 1.839064553348118414e-01
