# x (AU), y (AU), v (AU), v_{x} (km s^{-1}), v_{y} (km s^{-1}), v_{z} (km s^{-1})
-1.807780172083315109e-02, -3.565960298776929549e-02, -3.581900130753966956e-03, -2.674008786801151771e+01, 1.013401605922657822e+01, 3.500516207595082108e+01
-4.624851998966023103e+01, 2.566189217057429417e+01, -2.746116978858706759e+01, -5.407903459424655557e-01, 6.407583275052103344e-01, -2.365562176237506198e-01
-1.598330817628575540e+00, 1.737960547966230784e-01, 9.366401033097656592e-01, -1.955660981819575595e+00, -2.982859542091322425e+00, -8.297219683419251979e+00
-5.788930387066512750e+00, 2.353753052677571134e+01, -1.503480940469579430e+01, 5.233564172987068552e-01, -5.614761397477011862e+00, -4.426611131534639587e-01
1.249315242987185520e-01, -6.006849370885327666e-01, -2.873182713700923596e+00, 1.938467282702553141e-01, 2.743315906300965779e+00, -4.604958516882714292e+00
9.016154523135160304e-01, 4.846094467131533690e-01, -1.768523936275339381e-01, 4.197967084850767194e-01, -2.864089593911274712e+00, -2.379502858987703195e+00
1.669196824565501336e+00, 4.928044448898825577e-03, -9.343191922148793571e-01, -6.354478157771090707e+00, -7.417388850808841028e+00, -1.461086388922299362e+00
-7.338015734957623692e+01, 3.507231395090703785e+01, 1.905750350859619147e+01, 9.599265584079993419e-01, 6.753562242929062043e-01, 2.383496765257082206e+00
-4.084013805360004606e-02, -2.722083533141258366e-02, -9.787312393050651149e-02, -9.553078982769235949e+00, -7.950694328139034539e+00, 3.795082691851780154e+00
-3.186785511576446961e+00, 7.055805583783568125e+01, 5.678459633257751875e+02, 3.955940823421786323e-01, -2.567843169153616323e-01, -2.441981782975820303e-01
3.054658956560912841e+01, -8.207785919577215594e+00, -2.854679988754329401e+01, -1.447160569761686555e-01, -1.154620558278695967e-02, -1.141206564262689377e-01
1.101017580429726195e+00, -2.730748006174824050e-01, 3.382896076199622959e-01, 9.318317327758411928e-01, 5.443720259454739585e-01, -3.700770990392781901e+00
-7.852277875244140226e-01, 2.227771963009399225e-02, 1.640093987293016919e+00, 1.305816624640829149e+00, -2.217877169211560862e+00, 2.737733691175531003e+00
-4.434672878951975150e+01, 1.093501061538238730e+02, 8.736574575611389548e+01, 2.033561733913220870e-01, 2.859683967400636906e-01, -1.322135006371409072e-01
-1.062606280649572170e+02, -7.945792074270503491e+00, 5.544431639044647753e+00, 3.452641249760229902e-01, 1.487903373915264171e-01, 2.666805160411083175e-01
-1.598448371946756730e+01, -4.197187156602524283e+01, 6.854370186624670680e+01, 8.342605786546298807e-01, -5.430587583772474858e-01, 1.742699101632985970e-01
2.580404648149336211e+01, -8.253238267353733448e+00, 6.683809136503548132e+01, 3.284066490930750981e-02, -4.065787848444655239e-01, 2.654942291846049129e-02
-3.667287017010953054e+00, 7.757710009133867324e+00, 5.150263197090808376e+00, -7.375397173905745563e-01, -1.299691009799163410e+00, -6.078805998056957538e-01
-3.516539334424146901e+00, 2.446549515407514183e-02, 1.519354856673476695e+00, -1.267042744021146472e+00, -2.741189426457458778e-01, 1.838504926720043287e+00
-5.560399250625213119e-01, -1.765845313097156033e-01, 2.726699679787190078e-01, -1.324562401482232810e+00, 6.661142903022739814e-01, -3.325179940496988173e+00
-1.325502615605105072e+00, -4.030793364668307510e-01, -4.498889815348883769e-01, 4.512071997121740452e+00, 1.760357629314571071e+00, -8.473057522556052490e+00
1.127060717672248691e+00, 1.902078190342043840e+00, -8.361856036939334658e-01, 1.579808461220731264e+00, -7.929667771172099755e-01, 2.089824777885719076e+00
1.275677824760303447e-01, 1.870504841010041941e-01, 3.826245280231860280e-01, -1.136337016278060830e+01, 1.623345217441322763e+00, -1.177714392605415483e+01
1.383849794293800883e+01, -9.249996354629779205e+00, 7.638325769582846370e+00, -7.776300809119623958e-01, 2.132727301611168635e-01, 1.192455428517982474e+00
-2.751113142839002990e+01, 9.382545776584061059e+01, 1.081468428972234221e+02, 3.623631961148163216e-02, 1.780371639010963902e-01, -1.091580249730050856e-01
-3.397591407655760321e-04, 3.588433668156351120e-01, -1.931646527726926521e-01, -1.941823745842955162e+01, 8.943524796533997900e+00, 7.954019078626586747e+00
9.683925954501172839e+01, 1.895242127091299551e+02, 4.084484962212645200e+02, -9.507549547247481914e-02, -2.736474687252222204e-01, 1.558130812490050032e-01
-1.522011593988521760e-01, 1.030302231453636003e-01, -1.230971955227183195e-01, 2.545871962621795248e+01, 2.414240763995103567e+00, 2.179860701817092661e+01
-1.168203503888700467e+01, -6.971924083880768563e+00, -4.306932082006211004e+01, -1.640099890451588716e-01, -2.478671645946164404e-01, -4.872864547496650323e-01
-8.937583569338276857e-03, -1.247725846487507222e-02, 7.407773445160411446e-03, -1.194523358333942653e+01, 4.171180052387403236e+01, 5.584503843534692180e+01
