# x (AU), y (AU), v (AU), v_{x} (km s^{-1}), v_{y} (km s^{-1}), v_{z} (km s^{-1})
3.290128594417203456e-02, 6.489985965518035860e-02, 6.518996183567628104e-03, 4.866649666280253683e+01, -1.844373366166549744e+01, -6.370878853349131532e+01
1.056660484346147797e+02, -5.863086519581582223e+01, 6.274175471130227777e+01, 1.235567730602060488e+00, -1.463969019639662195e+00, 5.404705005593432032e-01
2.034007792035969597e+00, -2.211698140225628051e-01, -1.191951783356130168e+00, 2.488739897728818207e+00, 3.795934786619687085e+00, 1.055889638250772400e+01
7.638039054140807416e+00, -3.105592318111230199e+01, 1.983725035996197406e+01, -6.905276946314046205e-01, 7.408236749473774196e+00, 5.840565776312522939e-01
-3.606042246810832741e-01, 1.733826007745570275e+00, 8.293197658934190031e+00, -5.595221025857366470e-01, -7.918348159121034513e+00, 1.329182129963073855e+01
-2.523558375633644157e+00, -1.356387831448695236e+00, 4.949974382586683763e-01, -1.174981525707683438e+00, 8.016385771488190315e+00, 6.660061508744626657e+00
-1.669700634683154883e+00, -4.929531870046574733e-03, 9.346011957840367756e-01, 6.356396116361222148e+00, 7.419627625466578280e+00, 1.461527385511001809e+00
8.565740918146657634e+01, -4.094027126055285493e+01, -2.224601901896146927e+01, -1.120532102513756456e+00, -7.883502371345335602e-01, -2.782280184160805803e+00
1.231716134244333766e-01, 8.209654438803636045e-02, 2.951799665708362275e-01, 2.881156155580152500e+01, 2.397885744059209046e+01, -1.144576097223356825e+01
3.219477858819013605e+00, -7.128189133095071384e+01, -5.736713373103140157e+02, -3.996523721329816592e-01, 2.594185958853754692e-01, 2.467033395680702512e-01
-2.020471664247728256e+02, 5.428952662980055521e+01, 1.888197703833629078e+02, 9.572089606075063761e-01, 7.637114827334047507e-02, 7.548389391207949162e-01
-6.379830846155229551e+00, 1.582328081997687708e+00, -1.960214361686422935e+00, -5.399485837337215877e+00, -3.154356029043097198e+00, 2.144406532532317655e+01
3.234171042426017273e+00, -9.175675754686025976e-02, -6.755166545090179220e+00, -5.378355658357990343e+00, 9.134921395148412060e+00, -1.127608977490331199e+01
1.634001126037584299e+02, -4.029117850737702611e+02, -3.219081335630333456e+02, -7.492868704819592995e-01, -1.053680158692686497e+00, 4.871543286627132985e-01
3.137791115032522953e+02, 2.346328666277102570e+01, -1.637226191084107185e+01, -1.019537267394069913e+00, -4.393659318335883524e-01, -7.874861734061546770e-01
